Frequency,File_1,File_2,File_3,File_4,File_5,File_6,File_7,File_8,File_9,File_10,File_11
1000000,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
3002227,-96.09,-95.38,-96.47,-96.97,-95.81,-94.84,-95.97,-96.97,-94.72,-95.97,
5004454,-96.47,-96.47,-97.97,-96.97,-96.97,-94.47,-94.97,-95.97,-96.47,-94.97,
7006682,-97.47,-96.97,-95.47,-97.97,-96.97,-97.47,-96.97,-96.97,-97.47,-96.97,
9008909,-98.47,-98.97,-98.97,-98.97,-97.47,-97.47,-96.47,-94.97,-97.97,-98.47,
11011136,-95.97,-98.47,-97.47,-98.47,-98.47,-96.97,-97.97,-97.97,-97.97,-95.97,
13013363,-96.97,-97.47,-96.97,-97.47,-94.47,-98.97,-96.97,-94.47,-95.97,-97.47,
15015590,-96.0,-99.0,-96.0,-95.0,-95.0,-95.5,-95.0,-96.5,-95.5,-95.5,
17017817,-98.0,-95.0,-96.5,-96.5,-96.5,-95.0,-96.0,-96.5,-95.5,-94.5,
19020045,-96.5,-96.0,-96.0,-95.0,-94.0,-95.5,-96.5,-94.5,-96.0,-95.5,
21022272,-96.5,-96.0,-96.5,-97.5,-93.5,-96.0,-96.0,-94.0,-95.0,-97.0,
23024499,-97.0,-97.5,-96.0,-92.0,-95.0,-96.0,-95.5,-97.0,-95.0,-96.5,
25026726,-95.0,-95.5,-93.53,-96.0,-95.5,-96.5,-95.53,-94.53,-95.0,-94.03,
27028953,-97.53,-94.03,-94.53,-94.03,-94.03,-95.03,-94.03,-92.53,-93.03,-92.53,
29031180,-96.03,-96.53,-94.03,-94.03,-93.53,-92.03,-93.03,-92.03,-92.53,-91.53,
31033408,-96.53,-96.53,-94.53,-94.53,-94.03,-92.53,-93.03,-94.53,-93.53,-93.53,
33035635,-95.53,-96.03,-95.53,-94.53,-93.03,-94.03,-94.03,-95.53,-93.53,-95.03,
35037862,-95.53,-93.03,-96.53,-93.53,-94.53,-93.53,-93.53,-93.53,-93.53,-95.03,
37040089,-95.56,-96.06,-95.56,-95.06,-93.06,-94.06,-94.06,-94.56,-94.06,-94.06,
39042316,-96.56,-95.06,-95.06,-95.56,-93.06,-95.06,-94.56,-93.56,-94.06,-94.06,
41044543,-96.06,-87.56,-93.06,-94.56,-94.06,-95.06,-95.06,-93.06,-93.06,-89.56,
43046771,-96.56,-93.06,-95.06,-93.06,-93.06,-92.56,-94.56,-95.06,-93.56,-97.06,
45048998,-96.06,-93.56,-94.56,-96.06,-94.06,-95.56,-93.56,-94.56,-95.06,-96.06,
47051225,-93.09,-95.59,-89.59,-91.59,-93.06,-95.56,-94.59,-95.06,-94.59,-95.06,
49053452,-95.09,-93.59,-94.09,-92.09,-92.09,-87.09,-92.59,-92.09,-93.09,-94.59,
51055679,-92.09,-87.59,-90.59,-91.59,-89.09,-89.59,-89.59,-90.09,-88.59,-91.59,
53057906,-88.09,-89.09,-87.59,-85.09,-87.59,-88.09,-88.59,-86.09,-86.59,-86.59,
